molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,standard_relation,assay_chembl_id,target_chembl_id,pIC50,MolecularWeight,LogP,HBD,HBA,TPSA,RotatableBonds,RingCount,AromaticRings,Activity
CHEMBL187677,C[C@H]1CCc2c(N3CCC(O)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.N=C(N)NCCC[C@H](N)C(=O)O.O.O.O.O,IC50,5.0,ug.mL-1,=,CHEMBL828150,CHEMBL3038482,8.301029995663981,606.6490000000003,-2.3301299999999965,7,7,333.99,7,4,2,1
CHEMBL8,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,IC50,5.0,ug.mL-1,=,CHEMBL826975,CHEMBL3038482,8.301029995663981,331.34700000000004,1.5833,2,4,74.57,3,4,2,1
CHEMBL192226,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(/C=C\F)c3c2F)CC1,IC50,72.2,ug.mL-1,=,CHEMBL832740,CHEMBL3038482,7.141462802430361,367.3270000000001,2.1274000000000006,1,4,65.78,3,3,2,1
CHEMBL371124,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(/C=C/F)c3c2F)CC1,IC50,664.0,ug.mL-1,=,CHEMBL832740,CHEMBL3038482,6.177831920631983,367.3270000000001,2.1274000000000006,1,4,65.78,3,3,2,1
CHEMBL6273,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1,IC50,68.5,ug.mL-1,=,CHEMBL832740,CHEMBL3038482,7.164309428507575,369.3430000000002,1.6991999999999998,1,4,65.78,4,3,2,1
CHEMBL220656,COc1c(-c2cc(C)nc(C)c2)c(F)cc2c(=O)c3c(=O)[nH]sc3n(C3CC3)c12,IC50,3200.0,nM,=,CHEMBL910511,CHEMBL3038482,5.494850021680094,411.45800000000014,4.065940000000002,1,5,76.97999999999999,3,5,4,0
CHEMBL219534,COc1c(-c2ccnc(C)c2)c(F)cc2c(=O)c3c(=O)[nH]sc3n(C3CC3)c12,IC50,1600.0,nM,=,CHEMBL910511,CHEMBL3038482,5.795880017344075,397.4310000000001,3.757520000000002,1,5,76.97999999999999,3,5,4,0
CHEMBL436512,COc1c(-c2ccc3c(c2)CN[C@@H]3C)c(F)cc2c(=O)c3c(=O)[nH]sc3n(C3CC3)c12,IC50,2100.0,nM,=,CHEMBL910511,CHEMBL3038482,5.6777807052660805,437.4960000000002,4.218300000000002,2,5,76.12,3,6,4,0
CHEMBL219216,COc1c(-c2ccc3c(c2)CNC3)c(F)cc2c(=O)c3c(=O)[nH]sc3n(C3CC3)c12,IC50,2000.0,nM,=,CHEMBL910511,CHEMBL3038482,5.698970004336019,423.46900000000016,3.657300000000001,2,5,76.12,3,6,4,0
CHEMBL32,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,IC50,28000.0,nM,=,CHEMBL910511,CHEMBL3038482,4.552841968657781,401.4380000000002,2.3705000000000007,2,5,83.80000000000001,4,5,2,0
